nom du projet;nom du site;nom de la plateforme;date prelevement;profondeur min réelle observée (m);profondeur max réelle observée (m);chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;09/08/2017;10.0;10.0;;4.34
Suivi des lacs;Léman;SHL2;09/08/2017;15.0;15.0;;3.26
Suivi des lacs;Léman;SHL2;09/08/2017;20.0;20.0;;2.62
Suivi des lacs;Léman;SHL2;09/08/2017;30.0;30.0;;2.24
Suivi des lacs;Léman;SHL2;22/08/2017;0.0;0.0;;2.56
Suivi des lacs;Léman;SHL2;22/08/2017;1.0;1.0;;3.18
Suivi des lacs;Léman;SHL2;22/08/2017;2.5;2.5;;3.29
Suivi des lacs;Léman;SHL2;22/08/2017;3.5;3.5;;3.53
Suivi des lacs;Léman;SHL2;22/08/2017;5.0;5.0;;3.78
Suivi des lacs;Léman;SHL2;22/08/2017;7.5;7.5;;3.97
Suivi des lacs;Léman;SHL2;22/08/2017;10.0;10.0;;5.47
Suivi des lacs;Léman;SHL2;22/08/2017;15.0;15.0;;3.57
Suivi des lacs;Léman;SHL2;22/08/2017;20.0;20.0;;2.26
Suivi des lacs;Léman;SHL2;22/08/2017;30.0;30.0;;1.55
Suivi des lacs;Léman;SHL2;04/09/2017;0.0;0.0;;0.72
Suivi des lacs;Léman;SHL2;04/09/2017;1.0;1.0;;2.09
Suivi des lacs;Léman;SHL2;04/09/2017;2.5;2.5;;9.4
Suivi des lacs;Léman;SHL2;04/09/2017;3.5;3.5;;4.69
Suivi des lacs;Léman;SHL2;04/09/2017;5.0;5.0;;2.55
Suivi des lacs;Léman;SHL2;04/09/2017;7.5;7.5;;2.67
Suivi des lacs;Léman;SHL2;04/09/2017;10.0;10.0;;2.8
Suivi des lacs;Léman;SHL2;04/09/2017;15.0;15.0;;2.76
Suivi des lacs;Léman;SHL2;04/09/2017;20.0;20.0;;2.66
Suivi des lacs;Léman;SHL2;04/09/2017;30.0;30.0;;2.58
Suivi des lacs;Léman;SHL2;25/09/2017;0.0;0.0;;2.5
Suivi des lacs;Léman;SHL2;25/09/2017;1.0;1.0;;3.05
Suivi des lacs;Léman;SHL2;25/09/2017;2.5;2.5;;3.34
Suivi des lacs;Léman;SHL2;25/09/2017;3.5;3.5;;3.23
Suivi des lacs;Léman;SHL2;25/09/2017;5.0;5.0;;3.28
Suivi des lacs;Léman;SHL2;25/09/2017;7.5;7.5;;3.59
Suivi des lacs;Léman;SHL2;25/09/2017;10.0;10.0;;3.51
Suivi des lacs;Léman;SHL2;25/09/2017;15.0;15.0;;3.78
Suivi des lacs;Léman;SHL2;25/09/2017;20.0;20.0;;5.14
Suivi des lacs;Léman;SHL2;25/09/2017;30.0;30.0;;1.35
Suivi des lacs;Léman;SHL2;09/10/2017;0.0;0.0;;2.42
Suivi des lacs;Léman;SHL2;09/10/2017;1.0;1.0;;2.71
Suivi des lacs;Léman;SHL2;09/10/2017;2.5;2.5;;2.9
Suivi des lacs;Léman;SHL2;09/10/2017;3.5;3.5;;3
Suivi des lacs;Léman;SHL2;09/10/2017;5.0;5.0;;2.78
Suivi des lacs;Léman;SHL2;09/10/2017;7.5;7.5;;2.88
Suivi des lacs;Léman;SHL2;09/10/2017;10.0;10.0;;2.99
Suivi des lacs;Léman;SHL2;09/10/2017;15.0;15.0;;3
Suivi des lacs;Léman;SHL2;09/10/2017;20.0;20.0;;4.84
Suivi des lacs;Léman;SHL2;09/10/2017;30.0;30.0;;1.45
Suivi des lacs;Léman;SHL2;24/10/2017;0.0;0.0;;2.5
Suivi des lacs;Léman;SHL2;24/10/2017;1.0;1.0;;2.72
Suivi des lacs;Léman;SHL2;24/10/2017;2.5;2.5;;2.66
Suivi des lacs;Léman;SHL2;24/10/2017;3.5;3.5;;2.66
Suivi des lacs;Léman;SHL2;24/10/2017;5.0;5.0;;2.71
Suivi des lacs;Léman;SHL2;24/10/2017;7.5;7.5;;2.55
Suivi des lacs;Léman;SHL2;24/10/2017;10.0;10.0;;2.59
Suivi des lacs;Léman;SHL2;24/10/2017;15.0;15.0;;0.8
Suivi des lacs;Léman;SHL2;24/10/2017;20.0;20.0;;2.92
Suivi des lacs;Léman;SHL2;24/10/2017;30.0;30.0;;1.16
Suivi des lacs;Léman;SHL2;21/11/2017;0.0;0.0;;4.85
Suivi des lacs;Léman;SHL2;21/11/2017;1.0;1.0;;5.85
Suivi des lacs;Léman;SHL2;21/11/2017;2.5;2.5;;5.42
Suivi des lacs;Léman;SHL2;21/11/2017;3.5;3.5;;6.05
Suivi des lacs;Léman;SHL2;21/11/2017;5.0;5.0;;5.63
Suivi des lacs;Léman;SHL2;21/11/2017;7.5;7.5;;5.9
Suivi des lacs;Léman;SHL2;21/11/2017;10.0;10.0;;5.92
Suivi des lacs;Léman;SHL2;21/11/2017;15.0;15.0;;5.96
Suivi des lacs;Léman;SHL2;21/11/2017;20.0;20.0;;4.54
Suivi des lacs;Léman;SHL2;21/11/2017;30.0;30.0;;5.51
Suivi des lacs;Léman;SHL2;21/12/2017;0.0;0.0;;2.42
Suivi des lacs;Léman;SHL2;21/12/2017;2.5;2.5;;2.87
Suivi des lacs;Léman;SHL2;21/12/2017;5.0;5.0;;2.72
Suivi des lacs;Léman;SHL2;21/12/2017;7.5;7.5;;2.75
Suivi des lacs;Léman;SHL2;21/12/2017;10.0;10.0;;2.83
Suivi des lacs;Léman;SHL2;21/12/2017;15.0;15.0;;2.85
Suivi des lacs;Léman;SHL2;21/12/2017;20.0;20.0;;2.81
Suivi des lacs;Léman;SHL2;21/12/2017;30.0;30.0;;2.72
Suivi des lacs;Léman;SHL2;23/01/2018;0.0;0.0;;1.9
Suivi des lacs;Léman;SHL2;23/01/2018;1.0;1.0;;1.88
Suivi des lacs;Léman;SHL2;23/01/2018;2.5;2.5;;1.87
Suivi des lacs;Léman;SHL2;23/01/2018;3.5;3.5;;1.88
Suivi des lacs;Léman;SHL2;23/01/2018;5.0;5.0;;1.75
Suivi des lacs;Léman;SHL2;23/01/2018;7.5;7.5;;1.81
Suivi des lacs;Léman;SHL2;23/01/2018;10.0;10.0;;1.9
Suivi des lacs;Léman;SHL2;23/01/2018;15.0;15.0;;1.86
Suivi des lacs;Léman;SHL2;23/01/2018;20.0;20.0;;1.88
Suivi des lacs;Léman;SHL2;23/01/2018;30.0;30.0;;1.93
Suivi des lacs;Léman;SHL2;14/02/2018;0.0;0.0;;1.74
Suivi des lacs;Léman;SHL2;14/02/2018;1.0;1.0;;1.88
Suivi des lacs;Léman;SHL2;14/02/2018;2.5;2.5;;1.98
Suivi des lacs;Léman;SHL2;14/02/2018;3.5;3.5;;2.09
Suivi des lacs;Léman;SHL2;14/02/2018;5.0;5.0;;2.02
Suivi des lacs;Léman;SHL2;14/02/2018;7.5;7.5;;2.02
Suivi des lacs;Léman;SHL2;14/02/2018;10.0;10.0;;1.97
Suivi des lacs;Léman;SHL2;14/02/2018;15.0;15.0;;2.02
Suivi des lacs;Léman;SHL2;14/02/2018;20.0;20.0;;1.98
Suivi des lacs;Léman;SHL2;14/02/2018;30.0;30.0;;2.03
Suivi des lacs;Léman;SHL2;06/03/2018;0.0;0.0;;1.06
Suivi des lacs;Léman;SHL2;06/03/2018;1.0;1.0;;1.22
Suivi des lacs;Léman;SHL2;06/03/2018;2.5;2.5;;1.34
Suivi des lacs;Léman;SHL2;06/03/2018;3.5;3.5;;1.4
Suivi des lacs;Léman;SHL2;06/03/2018;5.0;5.0;;1.25
Suivi des lacs;Léman;SHL2;06/03/2018;7.5;7.5;;1.5
Suivi des lacs;Léman;SHL2;06/03/2018;10.0;10.0;;1.3
Suivi des lacs;Léman;SHL2;06/03/2018;15.0;15.0;;1.32
Suivi des lacs;Léman;SHL2;06/03/2018;20.0;20.0;;1.23
Suivi des lacs;Léman;SHL2;06/03/2018;30.0;30.0;;1.43
Suivi des lacs;Léman;SHL2;26/03/2018;0.0;0.0;;2.03
Suivi des lacs;Léman;SHL2;26/03/2018;1.0;1.0;;2.44
